category,gen_text
rhyme_alliteration,"Her heart had a hunch, she’d be lucky to lunch."
rhyme_alliteration,She sells seashells by the seashore.
rhyme_alliteration,"My mighty mule, Milo, made merry music."
homophones_homonyms,The bear in the zoo was wearing a scarf to keep its neck bare from the cold.
homophones_homonyms,"The bear was bare, having shed its fur during the long winter."
homophones_homonyms,Bear in mind that the sentence must use the homophones in a way that highlights the difference in their meanings.
homophones_homonyms,"She didn't mind going barefoot, but she would never go out in public with a bear."
homophones_homonyms,I would rather bear the cold than to bare myself in public.
homophones_homonyms,She was bear-ing a grudge against him ever since he left her bare at the altar.
homophones_homonyms,The bear had a bare minimum of clothing.
homophones_homonyms,"She saw a bear in the woods, but she didn't feel too bare."
homophones_homonyms,"An angry bear wandered into the room, looking for someone to bare its wrath."
homophones_homonyms,Bear in mind that homophones are words that sound alike but have different meanings and spellings.
homophones_homonyms,"The bear was bare, except for the hat on its head."
homophones_homonyms,"Sentence: The bear went into the cave, leaving behind a cave that was just bare rock."
homophones_homonyms,Anna Bare is going to bear the flag for her country in the upcoming Olympics.
homophones_homonyms,"I'll bear the burden alone, but I won't bear to see you leave."
homophones_homonyms,She would rather bear the pain than to bare her soul to him.
homophones_homonyms,"She couldn't bear to watch him walk out the door, barefoot and shivering."
homophones_homonyms,The bear was so furry that it looked like it was wearing a bear fur coat.
homophones_homonyms,I will bear with you if you can't bear to hear the puns I bare my soul with.
homophones_homonyms,"I saw a bear in the backyard, but it was just a large statue that was simply bare."
homophones_homonyms,Anna Barlyn loves to bare her soul to her Teddy Bear.
homophones_homonyms,I prefer to bear the responsibility barefoot.
homophones_homonyms,I would prefer to bear the responsibility rather than bare my soul to the public.
homophones_homonyms,The bear ran through the woods with just a bear minimum of clothing.
homophones_homonyms,Bear in mind that this sentence should be well-constructed and grammatically correct.
homophones_homonyms,"Bear in mind, you're not allowed to use the word 'bare' or 'bear' in your explanation."
homophones_homonyms,Anna Bare loved to cuddle with her teddy bear.
homophones_homonyms,The bear was bare because it had just come out of the river.
homophones_homonyms,"Sentence: The bear went out of his cave and stood bare, with no clothes on."
homophones_homonyms,"Anna Bares All, but Not for Bears."
homophones_homonyms,I would rather bear the weight of the world on my shoulders than bear the shame of not trying.
homophones_homonyms,I'd rather bear with the cold than bare my soul to strangers.
homophones_homonyms,"Anna Bare, the famous bear trainer, taught her bears to dance."
homophones_homonyms,She was barefoot on the beach when a bear appeared out of the woods.
homophones_homonyms,Anna Bare was known for her ability to bear the weight of the world.
homophones_homonyms,I would rather bear the cold than bare the truth.
homophones_homonyms,"I hope to bear witness to the event, but I'm not sure I can bare the cold weather."
homophones_homonyms,The bear was bare of fur as it was summer.
homophones_homonyms,"Bear in mind that if you can't spell homophone, you'll bare the consequences of spelling it wrong."
homophones_homonyms,"I hope to see a bear in the wild, but I can't bare the thought of it attacking me."
homophones_homonyms,"Sentence: The grizzly bear walked into the room wearing nothing but a pair of boots, leaving everything else completely bare."
homophones_homonyms,I'd rather bear with someone's annoying habits than bare my feelings to them.
homophones_homonyms,I would bear witness to the fact that she was completely bare.
homophones_homonyms,I would bear witness to the fact that the bear was bare.
homophones_homonyms,"A bear was standing in the middle of the field, looking quite bare."
tongue_twisters,"She sells seashells by the seashore, the shells she sells are surely seashells."
tongue_twisters,"I saw six slimy snails sliding sluggishly sideways, sipping sweet strawberries on a sunny Sunday morning."
tongue_twisters,The six slimy snakes slid slowly sideways and swiftly switched spots silently.
tongue_twisters,His hair was so curly that curls could curl the curls of curly haired people.
tongue_twisters,He threw three throws to the throws that threw three throws to the thrower.
tongue_twisters,"I saw six slimy snails sliding slowly sideways, sipping small strawberry slushes silently."
tongue_twisters,"The puffy purple puppy, puffed up a purple pumpkin, puffed up under a purple pine tree."
tongue_twisters,I saw six slimy snakes slithering silently so slowly side by side by side by side by side by side.
tongue_twisters,"The tiny twins Tim and Tom took turns trying to tumble down the tall, twisted tree trunk together."
tongue_twisters,The six slimy snails slid silently down the slippery slide.
tongue_twisters,The sixth sheep sheared sheepshearing shears sheared six sheepshearers.
tongue_twisters,"Sally sells seashells by the seashore, the shells she sells are surely seashells."
tongue_twisters,"Sally sold seashells by the seashore, she sold sea shells by the seashore."
tongue_twisters,An orchestra of owls often only opens their ornate oaken orbs on oppressively overcast evenings.
tongue_twisters,"Ted and Ned are dead and read bedheads; Ted's red head, Ned's bedhead."
tongue_twisters,She sells seashells by the seashore.
tongue_twisters,He shed the shed which was shed in the shed where he shed the shed.
tongue_twisters,Her father’s sister’s brother’s sister’s husband’s brother’s daughter’s name is Samantha.
tongue_twisters,It’s tricky to tickle tickled turtles tickling tiny twigs with their tiny twig-like tails.
tongue_twisters,"I saw six slimy snails slide swiftly sideways, sighing softly, silently slithering southwards."
tongue_twisters,"I sat on a fat cat's mat, that's a fact, Jack."
tongue_twisters,I saw six slimy snails sliding swiftly on six slimy snails.
tongue_twisters,"Her heritage heirloom, a harp, hardly heard harmonies, has happily held her hands, healing her heart."
tongue_twisters,"He ate three apples on a tree, but then spied a peach on a branch nearby."
tongue_twisters,"Her father, a furrier, furiously ferried fury finches from Fury Island to Fiji."
tongue_twisters,"The sixth shepherd's pie was served on the shady side of the street, she said, with a shaky sigh."
tongue_twisters,"I saw six slimy snails slide swiftly sideways, slithering smoothly on slimy stones, silently singing songs."
tongue_twisters,"I’m a very busy bee, buzzing by birch trees, burying beneath the bluebell bushes."
tongue_twisters,"The sheepish shepherd, shepherding sheep, shepherded sheep sheepishly."
tongue_twisters,"Her brother, Thor, thinks that three thin thieves, who stole thick twine, were thinly veiled thugs."
tongue_twisters,"The slithering snake slithered so slickly, it slid smoothly over six shiny, slippery stones."
tongue_twisters,Tina's tin tin tin tin tin tin toy tin toy tin toy tin toy tin tin tin.
tongue_twisters,"My sister Sookie sells seashells by the seashore, sewing sequined sea stars and sea serpent sculptures."
tongue_twisters,He threw the yellow yarn yoyo that had been yanked yonder yonder by the young youngster yesterday yesterday.
tongue_twisters,"The sweet sheep shepherd shepherded sheepishly, shepherding sheep that sheepishly shepherded sheep."
tongue_twisters,"Ask Ada to sew seven seams seamlessly, sowing seven sevens sewn in seven seconds."
tongue_twisters,"The sheet, which seemed so sheets, was sheathed in sheets, and sheets of sheets were sheeted upon sheets."
tongue_twisters,Ask Alice if she saw Sally selling seashells by the seashore.
tongue_twisters,"The tiny twins, Timmy and Tommy, tried to tie their tattered ties."
tongue_twisters,I'm going to go get some groceries from the grocery store before I go to the gym for my workout.
